position,company,exp,date,skills,detail
PythonDeveloper,tataatsu idealabs pvt. ltd.,1-3yrs,posted few days ago,"keyskills:oop,python,linux,teamplayer,mongodb,sql",https://www.timesjobs.com/job-detail/python-developer-tataatsu-idealabs-pvt-ltd-bengaluru-bangalore-1-to-3-yrs-jobid-8DvwCGHFKxhzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,APPLYCUP HIRING SOLUTIONS LLP,1-4yrs,posted few days ago,"keyskills:python,security,webdeveloper,storage,mongodb",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-ahmedabad-1-to-4-yrs-jobid-Sq8U1RfiYD5zpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,DealsCorner,1-4yrs,posted few days ago,"keyskills:python,css,oops,linux,debugging,html,javascript",https://www.timesjobs.com/job-detail/python-developer-dealscorner-ahmedabad-1-to-4-yrs-jobid-zwS7bOT__PLUS__nKxzpSvf__PLUS__uAgZw==&source=srp
QA-Python,GEMINI SOFTWARE SOLUTIONS,3-6yrs,posted few days ago,"keyskills:python,c,oracle,sybase,autosys,sql,unixshellscripting,xml,linux,json,perl,solaris",https://www.timesjobs.com/job-detail/qa-python-gemini-software-solutions-gurgaon-3-to-6-yrs-jobid-3R9OcxLYyaBzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,Green Gold Animation Pvt. Ltd.,0-3yrs,posted few days ago,"keyskills:python,css,javascript,git,debugging,webdevelopment,html",https://www.timesjobs.com/job-detail/python-developer-green-gold-animation-pvt-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-pSTvoNU4Xp1zpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,rackspace technology,0-3yrs,posted few days ago,"keyskills:python,security,git,devops,infrastructure",https://www.timesjobs.com/job-detail/python-developer-rackspace-technology-hyderabad-secunderabad-0-to-3-yrs-jobid-ACIvEVZJOwRzpSvf__PLUS__uAgZw==&source=srp
QA-Python,Gemini Solutions,3-6yrs,posted few days ago,"keyskills:python,c,oracle,sybase,autosys,sql,unixshellscripting,xml,linux,json,perl,solaris",https://www.timesjobs.com/job-detail/qa-python-gemini-solutions-gurgaon-3-to-6-yrs-jobid-ep__SLASH__e__SLASH__M4__SLASH__x1xzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,RANGAM INFOTECH PVT. LTD.,0-3yrs,posted few days ago,"keyskills:sql,java,technologyinfrastructure,python,rdbms,problemsolving,teamplayer,gradle,consultant,sqldatabase",https://www.timesjobs.com/job-detail/python-developer-rangam-infotech-pvt-ltd-mumbai-bengaluru-bangalore-0-to-3-yrs-jobid-r1cRwNqGm6JzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,NuageBiz.Tech,2-5yrs,posted few days ago,"keyskills:python,mobile,teamplayer,svn,security,git,softwareengineering",https://www.timesjobs.com/job-detail/python-developer-nuagebiz-tech-noida-greater-noida-2-to-5-yrs-jobid-FzYRc8JWI0hzpSvf__PLUS__uAgZw==&source=srp
PythonDeveloper,AxisTechnolabs,0-1yrs,posted few days ago,"keyskills:python,css,userinteraction,bootstrap,openerp,database,xml,oops,html",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-UqL7KgAUov1zpSvf__PLUS__uAgZw==&source=srp
